тс к2.22;3646332.07;1839897.87;0.24
тс к2.23;3646326.86;1839885.23;-0.00
тс к2.24;3646300.48;1839881.52;-4.63
тс к2.25;3646291.96;1839887.45;-5.06
тс к2.26;3646290.90;1839888.52;-4.95
тс к2.27;3646289.85;1839889.59;-5.20
тс к2.28;3646278.90;1839895.65;-5.57
тс к2.29;3646303.52;1839869.85;-2.44
тс к2.30;3646298.41;1839857.31;-2.19
тс к2.31;3646271.93;1839853.50;-4.44
тс к2.32;3646263.63;1839859.65;-5.82
тс к2.33;3646262.58;1839860.72;-6.00
тс к2.34;3646261.53;1839861.79;-6.44
тс к2.35;3646250.35;1839867.64;-5.75
тс к2.36;3646274.97;1839841.83;-3.07
тс к2.37;3646269.70;1839828.78;-2.39
тс к2.38;3646229.10;1839811.48;-5.07
тс к2.39;3646221.14;1839817.95;-6.25
тс к2.40;3646220.09;1839819.02;-5.20
тс к2.41;3646219.04;1839820.09;-6.31
тс к2.42;3646207.53;1839825.61;-5.25
тс к2.11;3646349.71;1839944.12;-5.76
тс к2.12;3646348.66;1839945.20;-5.57
тс к2.13;3646347.61;1839946.27;-5.89
тс к2.14;3646336.00;1839951.69;-5.94
тс к2.15;3646360.62;1839925.88;-2.25
тс к2.1;3646399.23;1839956.25;-0.06
тс к2.2;3646386.48;1839965.21;-1.44
тс к2.3;3646377.14;1839971.04;-0.38
тс к2.4;3646376.09;1839972.11;0.25
тс к2.5;3646375.04;1839973.18;-0.25
тс к2.6;3646364.55;1839979.70;-2.00
тс к2.7;3646389.17;1839953.90;0.44
тс к2.8;3646376.02;1839925.11;-0.75
тс к2.9;3646369.45;1839927.03;-1.44
тс к2.10;3646357.58;1839937.55;-4.01
тс к2.16;3646340.90;1839899.01;-0.25
тс к2.17;3646329.03;1839909.54;-2.95
тс к2.18;3646320.31;1839915.27;-4.81
тс к2.19;3646319.26;1839916.34;-6.00
тс к2.20;3646318.21;1839917.41;-5.51
тс к2.21;3646307.45;1839923.67;-5.57
тс к2.43;3646232.15;1839799.81;-3.45
тс к2.44;3646226.70;1839786.94;-2.57
тс к2.45;3646209.57;1839770.13;-2.94
тс к2.46;3646186.63;1839769.09;-5.45
тс к2.47;3646178.07;1839775.68;-1.06
тс к2.48;3646177.01;1839776.75;0.06
тс к2.49;3646175.96;1839777.82;-1.56
тс к2.50;3646164.70;1839783.59;-3.95
тс к2.51;3646189.33;1839757.78;-3.63
тс к2.52;3646181.02;1839742.11;-0.06
тс к2.53;3646157.73;1839741.44;-2.81
тс к2.54;3646149.51;1839747.66;-3.94
тс к2.55;3646148.46;1839748.73;-5.01
тс к2.56;3646147.41;1839749.80;-5.88
тс к2.57;3646136.15;1839755.57;-5.56
тс к2.58;3646160.78;1839729.77;-2.76
тс к2.59;3646152.47;1839714.10;-2.38
тс к2.60;3646129.18;1839713.42;-6.06
тс к2.61;3646120.97;1839719.65;-5.95
тс к2.62;3646119.92;1839720.72;-6.38
тс к2.63;3646118.87;1839721.79;-6.06
тс к2.64;3646107.61;1839727.55;-5.69
тс к2.65;3646132.23;1839701.75;-4.39
тс к2.66;3646123.93;1839686.08;-2.25
тс к2.67;3646100.63;1839685.40;-4.64
тс к2.68;3646092.42;1839691.63;-5.70
тс к2.69;3646091.37;1839692.70;-5.51
тс к2.70;3646090.32;1839693.77;-6.06
тс к2.71;3646079.06;1839699.53;-5.07
тс к2.72;3646107.37;1839669.97;-2.56
тс к2.73;3646095.38;1839658.06;-2.19
тс к2.74;3646066.09;1839652.11;-3.69
тс к2.75;3646063.87;1839663.62;-4.88
тс к2.76;3646062.82;1839664.69;-5.13
тс к2.77;3646061.76;1839665.76;-4.20
тс к2.78;3646050.51;1839671.52;-4.89
тс к2.79;3646079.24;1839641.48;-1.31
тс к2.80;3646063.43;1839635.44;-1.69
тс к2.81;3646055.41;1839626.46;-1.75
тс к2.85;3646035.49;1839657.05;-1.64
тс к2.86;3646032.64;1839673.53;-3.25
тс к2.87;3646016.26;1839696.05;-1.50
тс к2.88;3645989.02;1839723.96;-2.63
