тс к1.1;3637265.42;1837930.06;-4.81
тс к1.9.1;3637293.16;1837941.39;-1.38
тс к1.2;3637264.18;1837917.47;-5.07
тс к1.3;3637263.57;1837916.10;-4.88
тс к1.4;3637262.96;1837914.73;-4.82
тс к1.5;3637260.17;1837904.81;-4.44
тс к1.6;3637250.43;1837897.70;-2.56
тс к1.9.2;3637534.15;1837833.60;-1.51
тс к1.10;3637300.09;1837899.79;-4.32
тс к1.11;3637299.48;1837898.43;-4.89
тс к1.13;3637286.95;1837881.39;-2.81
тс к1.14;3637306.32;1837866.87;-2.32
тс к1.15;3637338.47;1837897.45;-3.77
тс к1.7;3637269.33;1837883.38;-2.50
тс к1.8;3637301.95;1837913.76;-4.39
тс к1.9;3637300.71;1837901.16;-4.88
тс к1.18;3637336.01;1837882.12;-4.89
тс к1.19;3637333.22;1837872.20;-4.81
тс к1.20;3637323.48;1837865.13;-3.13
тс к1.21;3637342.39;1837850.77;-1.82
тс к1.22;3637375.00;1837881.15;-4.39
тс к1.23;3637373.76;1837868.56;-5.25
тс к1.24;3637373.15;1837867.19;-4.70
тс к1.25;3637372.54;1837865.82;-4.39
тс к1.26;3637368.74;1837856.34;-5.01
тс к1.27;3637360.01;1837848.79;-3.38
тс к1.28;3637371.61;1837837.73;-2.31
тс к1.30;3637411.52;1837864.84;-4.81
тс к1.31;3637410.28;1837852.25;-4.63
тс к1.32;3637409.67;1837850.88;-4.31
тс к1.33;3637409.06;1837849.51;-4.07
тс к1.34;3637405.27;1837840.04;-4.57
тс к1.36;3637396.53;1837832.48;-2.70
тс к1.37;3637415.44;1837818.16;-2.88
тс к1.17;3637336.62;1837883.49;-5.13
тс к1.52;3637506.75;1837777.40;-2.00
тс к1.41;3637464.46;1837826.42;-4.75
тс к1.42;3637463.85;1837825.05;-4.51
тс к1.43;3637461.06;1837815.13;-4.89
тс к1.44;3637451.32;1837808.02;-3.57
тс к1.45;3637470.69;1837793.50;-2.26
тс к1.46;3637502.84;1837824.08;-4.89
тс к1.47;3637501.60;1837811.49;-4.95
тс к1.48;3637500.99;1837810.12;-4.94
тс к1.49;3637500.38;1837808.75;-4.57
тс к1.50;3637497.23;1837798.99;-4.57
тс к1.51;3637487.85;1837791.72;-2.51
тс к1.53;3637539.37;1837807.78;-5.20
тс к1.55;3637537.51;1837793.81;-4.70
тс к1.56;3637536.90;1837792.44;-4.70
тс к1.57;3637533.39;1837782.85;-3.40
тс к1.39;3637466.31;1837840.39;-5.00
тс к1.40;3637465.07;1837827.79;-4.88
тс к1.66;3637587.44;1837765.75;-1.51
тс к1.60;3637519.37;1837729.86;-0.81
тс к1.61;3637506.33;1837700.64;-0.50
тс к1.63;3637541.57;1837768.68;-1.69
тс к1.65;3637576.53;1837743.77;-2.13
тс к1.67;3637603.14;1837800.91;-1.44
тс к1.68;3637575.64;1837858.11;-1.88
тс к1.58;3637524.37;1837775.41;-2.19
тс к1.59;3637532.41;1837759.08;-1.25
тс к1.16;3637337.23;1837884.86;-4.57
тс к1.38;3637433.70;1837810.01;-2.51
